x,y,y_err
0.0,0.015235853987721568,0.05
0.005,1.6806511683878413,0.05
0.01,3.1141209740413935,0.05
0.015,4.221712154044937,0.05
0.02,5.005550223681157,0.05
0.025,5.842225316582127,0.05
0.03,6.623109482909253,0.05
0.035,7.235470202859269,0.05
0.04,7.8244760238994076,0.05
0.045,8.306715640072074,0.05
0.05,8.875418617678317,0.05
0.055,9.316675498110673,0.05
0.06,9.696617411880018,0.05
0.065,10.138380270499022,0.05
0.07,10.470523394073313,0.05
0.075,10.748436757832103,0.05
0.08,11.135474752613288,0.05
0.085,11.378022120660374,0.05
0.09,11.7637419609301,0.05
0.095,11.997503704450688,0.05
